square_footage,num_bedrooms,location,price
2504,3,Dallas,568408
960,4,Austin,370653
2403,3,Austin,547048
1197,1,Miami,261714
2100,3,Houston,468797
1615,2,Chicago,305265
2327,1,Houston,353784
2719,2,Austin,517467
2215,2,San Francisco,462948
1958,2,San Francisco,393292
2018,1,San Francisco,377895
1200,1,Seattle,262331
1439,4,Seattle,399431
1259,1,New York,217767
1754,3,San Francisco,446750
1269,2,San Francisco,246993
1845,4,Los Angeles,440019
2493,1,Boston,392308
2885,2,Austin,581603
1362,1,Seattle,302329
2599,4,Dallas,623707
2874,1,Seattle,431303
1025,1,Dallas,215508
1597,2,New York,370804
1759,3,Dallas,420085
2304,1,Seattle,380904
1252,4,Miami,359972
1615,1,Seattle,316084
1458,1,Chicago,304431
1346,3,Miami,346757
2015,2,San Francisco,362661
816,4,Austin,280225
2043,2,Dallas,453224
1869,2,Seattle,369092
2946,2,Seattle,561526
2568,1,Dallas,443501
1860,3,Houston,402340
1101,1,Austin,192301
980,4,Los Angeles,340327
1406,3,Boston,320152
1499,2,San Francisco,310164
1792,3,Miami,438072
1939,4,Seattle,488218
990,1,New York,209610
1780,1,Austin,268672
2806,2,Dallas,536837
1984,1,Seattle,312922
927,1,Miami,229763
2865,4,New York,590941
2616,3,Boston,529481
2558,1,Boston,398365
1369,4,Miami,416975
2146,4,Austin,527404
2695,2,New York,498844
1425,4,Dallas,421381
2486,2,New York,472139
954,1,Chicago,199398
2209,2,Dallas,478399
1584,4,San Francisco,390567
1045,3,Los Angeles,293768
2300,3,San Francisco,497686
2505,1,Los Angeles,400545
1337,1,San Francisco,259376
2690,3,New York,572274
2641,2,Austin,454663
1720,1,Miami,326274
1324,4,Seattle,419072
2329,1,Los Angeles,383954
835,2,Seattle,271592
1484,1,Chicago,289704
819,4,Chicago,369246
1199,4,Seattle,395079
1771,4,Chicago,462465
2706,2,Dallas,460620
1966,2,Seattle,385625
1915,4,Chicago,481173
1633,4,Los Angeles,469030
2623,2,Austin,534590
2782,2,Chicago,506593
1653,2,Seattle,379569
850,3,Los Angeles,300971
1374,2,Seattle,286129
1948,4,Boston,504114
2997,3,New York,576135
2515,2,New York,485521
1481,4,New York,429523
1637,1,San Francisco,269448
1877,3,Dallas,404999
2395,4,Seattle,515987
804,1,Dallas,155908
1926,4,Seattle,504394
2019,2,Boston,438589
1573,2,Chicago,343125
1676,1,San Francisco,280459
1791,2,Austin,344098
846,4,Seattle,359654
1068,1,Los Angeles,179908
1169,4,Chicago,407899
1435,4,Miami,368236
1929,4,Miami,529203
2493,2,Austin,476884
2482,2,Los Angeles,513218
1456,4,New York,374885
919,3,San Francisco,333890
1630,4,Dallas,483564
2610,4,Houston,553272
1881,1,Houston,357838
2774,4,San Francisco,578631
2169,2,Chicago,432914
1540,1,Boston,326614
916,3,Chicago,276035
2653,1,Miami,423869
1950,3,Dallas,415400
2731,1,Miami,447044
1812,1,Seattle,306830
2464,3,Miami,537550
1881,2,Houston,408039
1433,2,Houston,280509
1312,2,Dallas,324648
1919,1,Miami,315407
1941,4,San Francisco,479158
1359,1,San Francisco,217903
1287,4,Austin,384867
1696,4,Boston,409393
2012,2,Dallas,436212
1503,4,Miami,423831
2270,1,Dallas,414247
1380,1,Chicago,220515
953,2,New York,209285
2479,3,Los Angeles,530574
1796,1,Chicago,271575
2043,4,Chicago,458855
1892,1,Miami,336315
1808,1,New York,278541
2941,1,San Francisco,465434
2573,3,San Francisco,513952
1757,4,Chicago,504542
1252,2,Boston,298252
2027,1,San Francisco,362727
1350,4,Seattle,444296
2435,4,Chicago,596749
2112,2,Los Angeles,450325
2557,1,New York,446097
1156,3,Austin,292341
2870,4,Houston,605519
2585,2,Dallas,453529
2581,3,Chicago,505576
2431,4,San Francisco,577318
1815,1,Dallas,302433
2148,4,Los Angeles,538514
1315,3,Miami,333177
1135,3,Houston,276645
2582,1,Boston,393274
1296,1,Austin,199550
1695,2,Miami,381918
1651,1,Los Angeles,297222
2487,2,San Francisco,465861
2731,3,Seattle,593678
2368,3,New York,509697
1756,4,Miami,435866
2436,4,Miami,524950
2091,2,Austin,416712
2240,1,New York,371394
1991,1,Los Angeles,358681
1866,4,Dallas,491450
1084,3,Dallas,361394
811,2,New York,181137
2430,3,Boston,519584
1553,3,Chicago,408759
2882,1,Boston,463231
889,2,Boston,268641
1575,3,Miami,415470
2425,4,Miami,606034
1217,4,Houston,343916
914,1,San Francisco,168963
1416,4,Los Angeles,390729
1625,4,Los Angeles,457568
2449,3,Houston,522473
2316,4,Miami,589461
1212,4,Austin,373171
1528,3,Austin,387966
1475,1,San Francisco,281575
2692,1,New York,444041
1922,2,Miami,339976
2371,4,Dallas,510932
1777,3,Dallas,392772
1808,2,Miami,382503
2943,1,Seattle,454826
2487,1,New York,438179
836,3,Dallas,234831
2348,2,Chicago,435570
1672,2,Boston,302737
2621,3,Miami,583191
2096,3,Seattle,439001
2909,2,Chicago,581141
1395,1,Boston,210317
2703,4,Boston,634387
1528,1,San Francisco,242672
2165,3,New York,479765
1196,2,Miami,262547
1498,2,Seattle,366096
2435,4,Houston,569904
1195,2,San Francisco,291058
875,4,Austin,333584
1064,1,Chicago,245267
2619,1,Houston,398046
1517,2,Chicago,337150
1650,2,Miami,384552
2190,3,Seattle,516460
943,3,Seattle,320867
1684,2,Boston,333193
1195,2,Houston,294309
2292,1,Seattle,414595
1967,2,Dallas,435436
1862,3,Chicago,423701
2956,1,Boston,474993
1865,4,Miami,440211
2009,3,Seattle,494570
1433,3,Los Angeles,350640
1956,1,Miami,388760
2038,4,Houston,524623
1532,3,Dallas,351626
1034,2,New York,219653
1550,3,Austin,385665
1753,1,Los Angeles,320404
2342,1,Boston,358259
1997,1,Chicago,342265
2476,3,Houston,500779
1991,4,Houston,471324
2216,2,New York,391959
2017,1,Los Angeles,334802
2340,4,Chicago,527104
2876,2,Austin,481951
2245,1,San Francisco,402419
2319,2,San Francisco,404457
2188,2,Houston,454839
2656,4,Los Angeles,591373
2165,2,New York,404608
1299,1,Houston,234217
2480,4,San Francisco,600908
1310,3,Houston,395864
1016,3,San Francisco,312251
2124,4,Los Angeles,525136
1955,3,Los Angeles,472834
2627,2,New York,540009
2610,1,Boston,410070
2005,2,Boston,435335
890,4,Houston,319438
1513,1,Houston,303405
2681,4,Houston,649366
838,4,New York,327498
972,4,Miami,355518
1452,2,Houston,322769
1553,1,Boston,314789
2043,1,Boston,389534
1881,1,Chicago,364687
2483,2,Los Angeles,468270
1255,3,Miami,386485
1628,2,San Francisco,388456
1694,2,Boston,337318
2184,4,Austin,487590
2758,1,Austin,426478
2796,1,Boston,459540
989,3,Austin,335798
1304,3,Seattle,347206
2014,4,Miami,544434
2331,1,Los Angeles,418994
1623,3,Boston,418462
1728,3,Boston,419071
1733,1,San Francisco,342092
1940,2,Miami,369940
933,3,Houston,328823
2905,1,Houston,524706
1484,3,Dallas,352190
2652,4,Chicago,599317
1614,3,Seattle,436692
1972,1,New York,362945
879,3,New York,261147
1002,4,Dallas,328166
2052,4,Los Angeles,491791
2499,3,New York,476757
2050,3,Houston,488014
2482,4,Austin,548238
2355,4,Chicago,579729
2894,2,Miami,489910
2056,2,Houston,414000
2349,4,San Francisco,560962
1966,3,Miami,432605
2196,1,New York,417068
1270,3,San Francisco,308115
1835,3,Miami,450725
2153,2,Boston,468440
1767,2,Seattle,381323
1157,2,Houston,309906
1467,4,San Francisco,418753
1172,4,Dallas,384925
1831,3,Seattle,424331
1945,3,Miami,469607
2171,1,Los Angeles,358217
889,3,Dallas,237768
1339,3,Houston,343014
1668,2,Boston,302186
840,2,San Francisco,274650
1539,2,Austin,319443
2746,2,San Francisco,495883
2024,2,Seattle,441318
1728,1,San Francisco,291189
2836,1,Seattle,523948
1724,1,Dallas,305487
2381,2,San Francisco,430592
1189,4,Dallas,339593
2417,2,Boston,412682
1055,2,Boston,223806
1508,1,Seattle,290597
2638,2,Miami,528990
2744,1,Boston,471040
809,2,Chicago,205205
1597,3,San Francisco,349389
1676,4,Chicago,460464
1828,4,San Francisco,510122
1815,1,New York,315470
2624,3,Dallas,572964
1173,4,Seattle,367028
2993,1,Houston,537692
1023,2,Houston,269880
2062,2,Los Angeles,360565
2602,3,Miami,513107
1652,4,Seattle,494479
862,2,Boston,228814
2040,1,Austin,362316
1488,2,Miami,348701
2284,2,Miami,457417
2433,4,Austin,610898
2952,4,Dallas,625029
1310,1,Miami,229248
1184,3,New York,318873
1204,3,Miami,335384
1317,2,Los Angeles,265640
1275,1,Chicago,284827
2800,3,Houston,533374
2468,3,Dallas,516316
2693,2,Seattle,534861
2260,1,Boston,398133
1513,3,New York,394879
882,4,Dallas,359638
1968,4,Chicago,502478
2701,2,Los Angeles,491612
2848,2,Chicago,536824
850,2,Seattle,227641
1484,2,Austin,353047
1516,3,Boston,413000
2269,1,Austin,351005
1248,2,San Francisco,279064
1680,2,Los Angeles,308410
1287,3,Boston,353438
2623,2,Seattle,529367
2881,2,Dallas,515828
2942,1,Houston,464270
2374,4,Boston,566051
1049,2,Dallas,299207
1473,3,Dallas,339457
1237,1,San Francisco,247236
2965,3,New York,562985
1570,1,Los Angeles,283183
1067,1,Los Angeles,238449
2784,2,San Francisco,534751
1877,2,Austin,407668
1035,2,Austin,298124
1188,4,Seattle,337597
1562,4,New York,413955
2648,3,Dallas,562646
1423,2,Miami,307089
2052,4,Miami,476630
1377,2,Austin,264564
2922,4,San Francisco,650031
1234,4,New York,378161
2950,1,Chicago,511252
1563,2,Houston,306309
2129,2,New York,454939
2945,4,Seattle,668508
2158,2,Dallas,392608
1246,4,Dallas,365593
2817,2,Los Angeles,561968
2131,1,Boston,333253
1048,2,Boston,300619
965,1,Los Angeles,223626
2158,3,Seattle,467402
1819,2,Dallas,341195
1341,2,Boston,273837
1558,2,Boston,313281
2928,1,Houston,476593
2980,2,Boston,590733
1596,2,Dallas,297692
937,4,Seattle,293998
2153,3,Chicago,442578
2675,1,Austin,415928
868,4,New York,319015
2900,1,San Francisco,461477
2273,4,Miami,544776
1004,3,New York,317350
2973,4,Houston,685476
842,1,Boston,146310
2706,2,Seattle,521046
2958,2,Chicago,551833
1560,3,Miami,374643
2942,1,Los Angeles,538400
2794,1,Chicago,465787
2735,1,Austin,458243
1699,3,Boston,379928
1159,2,San Francisco,289558
2519,4,Miami,545120
1080,3,Boston,355644
2687,4,Miami,634630
1466,2,San Francisco,276163
892,3,Austin,254552
1471,2,Los Angeles,282271
2769,4,Dallas,607719
860,1,Seattle,201592
1828,1,Chicago,334467
2289,4,New York,580223
1403,1,Los Angeles,224695
1481,4,Los Angeles,404826
2228,3,Houston,499996
1323,3,Miami,350954
2768,3,Miami,516552
1901,1,Houston,290393
2553,2,Chicago,478283
2636,1,Miami,454884
2894,1,Dallas,519026
1944,2,Seattle,435330
1879,2,New York,381824
906,2,New York,282283
847,2,San Francisco,261790
1136,1,San Francisco,236102
1849,4,Seattle,448660
2080,3,Boston,429439
2855,4,Boston,579504
1424,1,Los Angeles,217886
2690,2,Los Angeles,527045
2076,3,Houston,480943
2515,3,Austin,492242
1102,4,San Francisco,377352
1438,1,Austin,225423
855,1,Miami,221890
1525,1,New York,293933
1325,3,Los Angeles,313340
1273,4,Boston,422124
827,3,Seattle,269052
2925,3,San Francisco,585529
1164,2,New York,315684
1325,4,Chicago,360766
2135,2,Seattle,418433
1682,1,Austin,257044
1830,3,Dallas,464717
1826,4,Austin,523206
2446,1,San Francisco,413257
1718,4,Seattle,437939
2574,3,Dallas,582530
2331,4,Miami,595651
2706,1,Chicago,418822
2015,2,Austin,352334
2454,3,Chicago,520247
1284,2,Seattle,303231
2875,3,New York,546623
1513,1,Seattle,232106
1862,3,Boston,417851
2776,2,Dallas,504863
2096,3,New York,463705
2054,1,Austin,317753
2933,3,Miami,628284
925,2,Chicago,211818
1336,1,Seattle,235187
2992,2,Houston,524473
2872,3,San Francisco,546955
2403,4,Austin,511020
866,2,San Francisco,261636
1032,3,New York,312292
2956,4,Boston,605169
1969,4,Austin,484271
2958,1,Boston,462775
910,4,Boston,376089
2293,2,Miami,404251
2881,2,New York,553193
1422,4,Seattle,418301
2341,3,Houston,499509
2105,2,Dallas,420869
2561,2,Boston,503341
2775,1,New York,432597
1676,3,Miami,373453
2789,4,Austin,627406
2112,3,Los Angeles,484828
2260,1,Los Angeles,397688
2533,1,Houston,438400
2405,3,Miami,473054
2326,1,New York,380303
2430,1,Miami,440918
1960,1,Dallas,331424
1558,3,Dallas,393624
1042,1,Seattle,230347
1863,4,Los Angeles,515685
1028,4,Los Angeles,325378
1719,2,Dallas,325671
2046,4,Miami,538851
805,2,Houston,171464
1267,3,Houston,364817
2555,1,Boston,465578
874,4,Austin,353982
803,2,Los Angeles,194574
2670,3,Dallas,590084
1445,2,Miami,353701
917,1,New York,155061
2429,4,Austin,568938
2821,3,Houston,600717
1746,2,San Francisco,323115
2264,3,San Francisco,451451
993,2,Miami,232500
1646,2,Chicago,352858
2215,1,Chicago,333428
2258,1,Los Angeles,406642
2468,2,New York,466514
2233,4,Boston,569677
1941,3,Miami,475834
2610,3,San Francisco,522646
1523,1,San Francisco,296710
1024,4,New York,338903
1331,2,Los Angeles,325326
912,1,Chicago,190813
2987,2,Seattle,586270
1358,2,Los Angeles,343476
2848,1,Los Angeles,512266
2937,4,Houston,679048
1453,3,Boston,319151
1119,1,Boston,243397
2373,4,San Francisco,582037
2628,2,Boston,499303
2717,1,San Francisco,493692
938,3,Los Angeles,253364
2826,3,New York,593756
1701,2,Seattle,373774
1489,1,New York,264806
2839,3,Los Angeles,534514
809,1,Dallas,173884
1060,3,Miami,325696
2742,2,Chicago,472014
2473,2,Miami,425262
2860,1,Seattle,449845
1991,4,Boston,533336
2419,4,Miami,563553
1120,2,Boston,253215
2142,3,Los Angeles,508864
2436,4,Seattle,612245
2794,2,Houston,510178
2743,3,Chicago,547714
2838,3,Chicago,560184
1918,4,Dallas,530695
2404,2,Houston,497457
1035,3,San Francisco,355226
2769,3,Chicago,557512
1133,1,Austin,236941
2708,1,San Francisco,485767
1175,4,Chicago,414715
1960,1,Los Angeles,391673
2370,2,Seattle,445294
2119,4,Seattle,497087
2655,4,Austin,613544
2172,1,Los Angeles,393807
1672,3,Austin,351167
2052,2,Boston,371217
2651,2,New York,499978
2114,2,Chicago,436010
1524,4,Los Angeles,385373
2852,2,New York,492005
877,3,New York,286993
931,3,Seattle,327555
1400,1,Seattle,294117
2572,2,Houston,489863
1865,4,Boston,476869
2936,1,Los Angeles,474068
2663,3,Dallas,581562
2118,2,Los Angeles,370470
1415,3,Boston,374787
2688,1,Seattle,447508
1846,3,Seattle,414848
1374,2,Chicago,306202
2990,2,Miami,502106
1792,1,Seattle,349014
2992,2,Austin,531825
2048,3,Chicago,457573
1302,3,San Francisco,309688
2797,4,Miami,652120
1620,4,Miami,423920
2951,4,Austin,627843
2770,3,Miami,530511
997,3,Dallas,347433
2469,1,Seattle,401604
2002,4,Seattle,508566
2271,3,Chicago,539351
2446,1,Boston,378006
2492,3,Austin,495586
2112,1,Seattle,373652
2835,4,New York,592194
1277,4,Houston,415467
2054,4,Seattle,499264
1722,3,Los Angeles,435043
1219,3,New York,311565
1920,1,Boston,342251
1750,2,New York,381407
2077,2,Miami,426056
2657,4,Houston,645445
1316,2,San Francisco,283209
2458,4,Houston,525544
2665,1,Seattle,487068
1941,2,Chicago,391014
2732,2,Dallas,536212
1614,4,Boston,480967
2700,1,Chicago,442174
2862,2,Seattle,525233
2894,2,Chicago,497244
929,2,Los Angeles,196999
894,1,New York,170745
2755,1,Dallas,465924
1593,2,Seattle,301768
2634,4,Miami,581980
2916,4,Boston,647509
2483,2,Miami,519759
810,1,New York,158833
2665,2,Dallas,503808
1511,1,New York,281225
2870,2,Austin,505630
1614,1,Miami,268816
1145,3,New York,303047
1162,4,New York,343362
2988,3,Chicago,577692
1784,4,Seattle,504461
2439,1,Chicago,422331
1627,3,Austin,419774
1155,4,Houston,389627
2147,2,Houston,382617
2663,1,Chicago,436256
926,1,San Francisco,213357
1403,2,Miami,330335
2728,2,Chicago,534391
1813,4,Los Angeles,469624
850,1,Los Angeles,207915
2230,4,Boston,554982
2592,2,Austin,481927
2436,1,Austin,388902
2445,2,Chicago,511779
2005,4,Dallas,522943
2654,4,New York,598824
1366,4,Seattle,433702
1735,1,New York,266490
2734,2,New York,546986
2132,2,Austin,418344
1001,4,Austin,316790
916,4,Los Angeles,320295
1736,4,Austin,505787
1374,4,Chicago,368020
1336,3,Los Angeles,380328
2425,3,Miami,544203
2922,3,New York,568943
1185,4,Miami,356977
1274,4,New York,364351
1217,2,New York,256788
1738,1,Boston,320744
1754,2,New York,340823
1675,3,Dallas,386223
1562,2,Miami,378592
2002,4,New York,458813
2005,3,San Francisco,444066
1463,3,San Francisco,349675
824,1,San Francisco,127979
2790,1,Chicago,429805
2003,3,Los Angeles,432172
1509,3,Miami,404034
2679,2,New York,507279
1984,3,Houston,476037
1084,4,Los Angeles,389024
862,2,Houston,274935
1802,4,Seattle,462776
1461,4,Dallas,413403
2292,4,Seattle,514508
1766,3,Austin,429863
1648,1,Los Angeles,274821
1907,1,Houston,316051
1488,4,Boston,471307
947,3,New York,256270
1141,2,Chicago,311380
1886,4,Miami,498022
2524,2,New York,510357
2183,2,Miami,445357
1126,3,Boston,306684
2592,3,New York,527870
2559,1,Dallas,423000
1789,1,Austin,329612
1751,3,San Francisco,451022
1522,4,Boston,433844
2879,1,Austin,459011
1228,2,New York,255380
2300,4,Houston,576401
1085,2,Austin,231575
2865,3,Chicago,622561
1568,2,Austin,286217
2194,4,Seattle,499985
993,3,Dallas,295210
1787,4,Boston,428310
1936,2,San Francisco,395346
2961,4,New York,640812
2501,3,Boston,552543
1746,2,Los Angeles,348918
1630,2,Boston,349599
2720,1,Chicago,470306
854,1,Boston,157330
1599,4,Los Angeles,414619
1577,1,Austin,271764
2281,1,Seattle,374642
2701,1,Austin,468917
2934,1,Austin,529143
854,3,Los Angeles,290573
2623,3,Miami,581665
2001,1,San Francisco,303837
1632,4,Los Angeles,443935
1112,3,Austin,331435
2658,1,Boston,472100
2807,3,San Francisco,592713
2806,2,New York,565909
2590,3,Houston,538204
1127,3,New York,282884
2087,4,Chicago,471971
2943,3,Austin,570023
1911,4,Boston,474526
2111,2,Miami,370916
1251,1,Seattle,225363
2323,4,Seattle,507435
964,3,San Francisco,266668
981,3,Miami,337386
1709,4,Houston,414716
1622,2,New York,362684
1743,1,Houston,291922
2801,3,Dallas,523606
2854,2,New York,562778
1129,1,New York,181381
1574,1,New York,321775
2998,3,Boston,569726
946,4,Los Angeles,332787
1714,3,Boston,385877
2371,3,Seattle,498580
2108,3,Boston,417860
881,2,Houston,209301
1313,4,Boston,371563
2720,2,Los Angeles,552602
2739,3,San Francisco,576116
1545,4,Miami,460494
2209,1,San Francisco,386088
1506,4,Dallas,421677
1270,3,Seattle,375996
1195,4,Dallas,359952
2355,1,Dallas,441628
1604,1,Miami,317863
1733,4,Miami,507875
2079,1,Los Angeles,373654
2557,2,Los Angeles,525890
1704,4,San Francisco,418621
1876,1,Los Angeles,325401
2690,1,Los Angeles,422592
2323,4,Chicago,527365
2187,2,Austin,431373
2103,4,San Francisco,541487
1392,1,Miami,260702
2906,4,San Francisco,601639
927,1,Miami,212062
1535,3,Boston,403717
1320,4,Austin,361699
1036,4,Chicago,308204
2104,1,Chicago,364504
2581,1,Houston,441746
2101,1,Seattle,365143
2851,1,Miami,492016
1241,4,Seattle,374493
2876,1,Boston,443175
1604,4,Chicago,453612
874,2,Boston,228786
2975,4,Dallas,651807
2889,1,Austin,497586
2179,1,Houston,372724
840,2,Boston,207586
2881,4,Houston,639159
2500,2,Austin,425607
2201,4,San Francisco,577315
1387,1,Boston,245436
2422,4,Los Angeles,592925
1141,1,New York,233802
2874,1,Chicago,526344
1445,3,Chicago,369862
1530,3,Chicago,366525
967,4,San Francisco,358542
1409,1,New York,221573
2572,2,Austin,458743
2840,1,San Francisco,513051
1254,2,Chicago,333255
2508,4,Chicago,589060
1501,4,Seattle,474818
2399,2,Houston,476137
929,2,Houston,260230
2645,1,Seattle,430723
2186,4,Dallas,552948
1492,1,Seattle,260455
2194,2,Houston,478734
1593,3,Chicago,413108
828,3,Los Angeles,288377
948,3,Houston,301709
2119,2,New York,428311
2858,1,Los Angeles,447358
1936,4,San Francisco,476533
986,2,Houston,281083
2050,3,Austin,428120
2133,1,Boston,357017
897,4,Boston,353819
854,4,New York,307775
1557,2,Miami,350751
1205,2,Boston,231610
2916,4,New York,615018
2112,4,Miami,494716
2585,3,San Francisco,564967
1550,4,Miami,464556
2562,2,Austin,521967
1164,1,Houston,197478
2826,3,Boston,600860
1281,3,Chicago,330704
953,4,Seattle,319746
2324,1,Houston,357945
2920,3,San Francisco,599518
1840,2,San Francisco,419022
2464,4,New York,542184
2040,2,Dallas,448522
860,4,Miami,290598
1738,3,Miami,434561
2439,4,New York,534295
2889,1,Seattle,477163
824,2,Chicago,177330
1862,1,San Francisco,290984
930,2,Houston,246970
2052,2,Seattle,392363
907,4,Chicago,296091
971,3,Dallas,299115
2258,3,Houston,512423
901,1,New York,196470
2436,4,Houston,548024
1840,3,Austin,452455
1129,2,Dallas,223076
2320,2,New York,495252
811,4,New York,370213
2141,1,New York,371543
1015,4,Boston,304093
1138,1,Seattle,225629
2599,4,Chicago,598706
2550,2,Miami,497960
2308,4,San Francisco,509954
1509,3,San Francisco,355203
2023,3,Austin,463010
1912,4,Austin,504616
2091,1,Austin,404717
1288,1,Los Angeles,288524
2361,2,Austin,477482
846,2,San Francisco,181467
1577,1,Dallas,332297
1839,4,Chicago,500686
1510,2,Austin,338618
1200,1,Dallas,238886
2617,1,Los Angeles,450274
1049,4,Los Angeles,339500
1190,3,Miami,345291
1134,1,Boston,267464
1428,2,Boston,270662
936,4,Houston,373978
2321,4,Boston,525710
1626,4,Houston,478468
1526,3,Seattle,406586
2300,3,Boston,448371
1789,2,Los Angeles,403699
1734,2,Miami,364112
1201,4,Dallas,403306
2266,2,Austin,392832
1414,1,Boston,233570
2096,3,Houston,424178
1982,4,Dallas,470333
1921,4,New York,448454
